Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2003,24.1,26.3,37.6,44.5,55.1,65.4,74.3,74.2,65.7,53,45.9,36,50.2
2004,20.7,33,39.4,49.5,58.8,66.5,71,72,65.2,53.8,44.3,35,50.8
2005,26.7,31.1,35.2,49.7,52.2,68.3,73.3,74.4,67.9,54.7,45.9,32.5,51
2006,36.5,31,38.7,49.8,57,68.1,75.9,71.4,64.6,54.3,49.1,41,53.1
2007,32.7,26.1,37.4,45.2,61.4,68.5,72.9,72.7,67.6,59.2,43,32.4,51.6
2008,33.4,32.5,38.2,49.3,57.7,70.3,75,70,65.3,53.3,43.4,35.7,52
2009,24.8,32.9,37.5,50.5,59.5,63.3,70.5,73.6,63.2,51.9,48.8,33.2,50.8
2010,29.6,33.2,43.9,53,62.8,70.3,77.2,73.4,68.7,55.6,44.8,32.7,53.8
2011,27.6,30.5,38.9,50.1,59.2,67.1,77.3,73.9,67.3,57.5,50.4,40,53.3
2012,34.1,37.3,46.7,53.1,60.3,66.8,75.3,74.6,64.7,56.5,42.1,38.4,54.2
2013,31.5,31.1,37.7,48.9,58.8,69.6,77.1,72.1,64.7,56.6,42.7,33.3,52
2014,27.4,28.9,33.5,48.1,58.7,68.3,74.1,70.8,66.2,56.4,42.5,38.2,51.1
2015,26.1,19,33.2,48,62.3,64.7,73.9,74.6,69.2,54,48.6,45.3,51.6
2016,32.5,34.7,42.5,47.1,58.6,68.4,76.1,76.4,67.5,55.3,46.2,35.2,53.4
2017,35.1,36.6,34,51.7,56.3,69.5,72.5,72,67.1,61.4,43.7,M,54.5
